Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.3,0.31,0.3,0.3,62400,0.0,0.0
1980-03-18,0.3,0.3,0.3,0.3,63900,0.0,0.0
1980-03-19,0.3,0.31,0.3,0.31,40500,0.0,0.0
1980-03-20,0.31,0.31,0.3,0.3,18900,0.0,0.0
1980-03-21,0.3,0.31,0.3,0.31,97200,0.0,0.0
1980-03-24,0.31,0.31,0.3,0.3,90300,0.0,0.0
1980-03-25,0.3,0.3,0.3,0.3,72000,0.0,0.0
1980-03-26,0.3,0.31,0.3,0.3,31500,0.0,0.0
1980-03-27,0.3,0.3,0.29,0.3,62100,0.0,0.0
1980-03-28,0.3,0.3,0.29,0.3,84000,0.0,0.0
1980-03-31,0.3,0.31,0.3,0.31,55200,0.0,0.0
1980-04-01,0.31,0.31,0.3,0.3,126000,0.0,0.0
1980-04-02,0.31,0.32,0.31,0.32,58500,0.0,0.0
1980-04-03,0.32,0.33,0.32,0.33,310800,0.0,0.0
1980-04-07,0.33,0.34,0.33,0.33,115200,0.0,0.0
1980-04-08,0.33,0.33,0.32,0.32,217800,0.0,0.0
1980-04-09,0.32,0.32,0.31,0.32,181200,0.0,0.0
1980-04-10,0.32,0.33,0.32,0.33,191700,0.0,0.0
1980-04-11,0.33,0.33,0.33,0.33,111900,0.0,0.0
1980-04-14,0.33,0.33,0.32,0.33,18900,0.0,0.0
1980-04-15,0.32,0.32,0.32,0.32,63300,0.0,0.0
1980-04-16,0.32,0.32,0.32,0.32,30000,0.0,0.0
1980-04-17,0.32,0.32,0.32,0.32,43500,0.0,0.0
1980-04-18,0.32,0.32,0.32,0.32,27300,0.0,0.0
1980-04-21,0.31,0.31,0.3,0.31,83700,0.0,0.0
1980-04-22,0.31,0.32,0.3,0.32,122700,0.0,0.0
1980-04-23,0.32,0.32,0.31,0.32,132300,0.0,0.0
1980-04-24,0.32,0.32,0.31,0.32,209100,0.0,0.0
1980-04-25,0.31,0.31,0.31,0.31,21600,0.0,0.0
1980-04-28,0.31,0.32,0.31,0.32,141600,0.0,0.0
1980-04-29,0.32,0.32,0.32,0.32,45000,0.0,0.0
1980-04-30,0.32,0.32,0.32,0.32,84900,0.0,0.0
1980-05-01,0.32,0.33,0.32,0.33,48600,0.0,0.0
1980-05-02,0.33,0.33,0.33,0.33,49800,0.0,0.0
1980-05-05,0.34,0.35,0.34,0.35,621300,0.0,0.0
1980-05-06,0.35,0.36,0.34,0.34,143400,0.0,0.0
1980-05-07,0.34,0.35,0.34,0.35,483600,0.0,0.0
1980-05-08,0.35,0.35,0.35,0.35,36300,0.0,0.0
1980-05-09,0.35,0.35,0.34,0.35,24600,0.0,0.0
1980-05-12,0.35,0.35,0.34,0.34,27000,0.0,0.0
1980-05-13,0.34,0.35,0.34,0.34,40500,0.0,0.0
1980-05-14,0.34,0.35,0.34,0.34,61200,0.0,0.0
1980-05-15,0.34,0.35,0.34,0.34,36900,0.0,0.0
1980-05-16,0.34,0.34,0.34,0.34,11100,0.0,0.0
1980-05-19,0.34,0.35,0.34,0.35,51300,0.0,0.0
1980-05-20,0.35,0.35,0.34,0.34,85500,0.0,0.0
1980-05-21,0.34,0.34,0.34,0.34,40500,0.0,0.0
1980-05-22,0.34,0.35,0.34,0.34,143400,0.0,0.0
1980-05-23,0.35,0.35,0.35,0.35,113400,0.0,0.0
1980-05-27,0.35,0.35,0.35,0.35,57000,0.0,0.0
1980-05-28,0.35,0.35,0.35,0.35,135000,0.0,0.0
1980-05-29,0.35,0.35,0.34,0.35,108300,0.0,0.0
1980-05-30,0.35,0.35,0.34,0.35,80100,0.0,0.0
1980-06-02,0.35,0.35,0.34,0.34,107100,0.0,0.0
1980-06-03,0.34,0.35,0.34,0.35,101100,0.0,0.0
1980-06-04,0.35,0.35,0.34,0.35,143100,0.0,0.0
1980-06-05,0.35,0.36,0.35,0.35,95700,0.0,0.0
1980-06-06,0.35,0.37,0.35,0.37,205500,0.0,0.0
1980-06-09,0.36,0.36,0.35,0.35,150300,0.0,0.0
1980-06-10,0.35,0.36,0.35,0.36,110700,0.0,0.0
1980-06-11,0.36,0.37,0.36,0.37,140400,0.0,0.0
1980-06-12,0.36,0.36,0.36,0.36,178200,0.0,0.0
1980-06-13,0.36,0.38,0.36,0.38,196200,0.0,0.0
1980-06-16,0.37,0.37,0.36,0.37,298200,0.0,0.0
1980-06-17,0.37,0.37,0.36,0.37,344100,0.0,0.0
1980-06-18,0.37,0.37,0.36,0.36,129600,0.0,0.0
1980-06-19,0.36,0.36,0.34,0.35,82800,0.0,0.0
1980-06-20,0.35,0.35,0.34,0.34,207000,0.0,0.0
1980-06-23,0.34,0.35,0.34,0.34,557400,0.0,0.0
1980-06-24,0.34,0.35,0.34,0.35,174000,0.0,0.0
1980-06-25,0.35,0.36,0.35,0.35,294300,0.0,0.0
1980-06-26,0.35,0.36,0.35,0.35,791400,0.0,0.0
1980-06-27,0.35,0.36,0.35,0.35,104400,0.0,0.0
1980-06-30,0.35,0.36,0.35,0.35,84900,0.0,0.0
1980-07-01,0.35,0.35,0.35,0.35,89100,0.0,0.0
1980-07-02,0.35,0.35,0.35,0.35,89100,0.0,0.0
1980-07-03,0.35,0.36,0.35,0.36,549900,0.0,0.0
1980-07-07,0.36,0.36,0.35,0.36,144300,0.0,0.0
1980-07-08,0.36,0.36,0.35,0.36,148500,0.0,0.0
1980-07-09,0.36,0.36,0.35,0.35,89100,0.0,0.0
1980-07-10,0.35,0.36,0.35,0.36,39000,0.0,0.0
1980-07-11,0.36,0.36,0.36,0.36,33600,0.0,0.0
1980-07-14,0.36,0.37,0.36,0.37,90300,0.0,0.0
1980-07-15,0.37,0.37,0.37,0.37,289200,0.0,0.0
1980-07-16,0.37,0.37,0.36,0.37,103800,0.0,0.0
1980-07-17,0.37,0.37,0.37,0.37,58500,0.0,0.0
1980-07-18,0.37,0.38,0.37,0.38,127200,0.0,0.0
1980-07-21,0.38,0.4,0.38,0.4,816600,0.0,0.0
1980-07-22,0.4,0.4,0.38,0.38,253800,0.0,0.0
1980-07-23,0.38,0.38,0.37,0.37,111900,0.0,0.0
1980-07-24,0.37,0.37,0.37,0.37,43500,0.0,0.0
1980-07-25,0.37,0.37,0.37,0.37,182700,0.0,0.0
1980-07-28,0.37,0.37,0.37,0.37,28800,0.0,0.0
1980-07-29,0.37,0.37,0.37,0.37,81300,0.0,0.0
1980-07-30,0.37,0.37,0.37,0.37,52500,0.0,0.0
1980-07-31,0.37,0.37,0.37,0.37,125400,0.0,0.0
1980-08-01,0.37,0.37,0.37,0.37,72900,0.0,0.0
1980-08-04,0.37,0.37,0.36,0.36,100200,0.0,0.0
1980-08-05,0.36,0.36,0.36,0.36,17400,0.0,0.0
1980-08-06,0.36,0.36,0.36,0.36,41700,0.0,0.0
1980-08-07,0.36,0.37,0.36,0.37,136800,0.0,0.0
1980-08-08,0.37,0.37,0.36,0.36,126000,0.0,0.0
1980-08-11,0.36,0.36,0.36,0.36,63300,0.0,0.0
1980-08-12,0.36,0.37,0.36,0.36,84900,0.0,0.0
1980-08-13,0.36,0.36,0.36,0.36,73200,0.0,0.0
1980-08-14,0.36,0.36,0.36,0.36,127200,0.0,0.0
1980-08-15,0.36,0.37,0.36,0.37,167400,0.0,0.0
1980-08-18,0.37,0.37,0.36,0.37,148800,0.0,0.0
1980-08-19,0.37,0.37,0.36,0.37,70200,0.0,0.0
1980-08-20,0.36,0.36,0.36,0.36,16500,0.0,0.0
1980-08-21,0.36,0.37,0.36,0.37,64800,0.0,0.0
1980-08-22,0.37,0.37,0.36,0.37,45900,0.0,0.0
1980-08-25,0.37,0.37,0.37,0.37,24300,0.0,0.0
1980-08-26,0.37,0.37,0.37,0.37,50400,0.0,0.0
1980-08-27,0.37,0.37,0.36,0.36,96300,0.0,0.0
1980-08-28,0.36,0.37,0.36,0.36,113700,0.0,0.0
1980-08-29,0.36,0.37,0.36,0.36,20700,0.0,0.0
1980-09-02,0.36,0.37,0.36,0.37,28800,0.0,0.0
1980-09-03,0.37,0.38,0.37,0.38,125400,0.0,0.0
1980-09-04,0.38,0.38,0.38,0.38,45900,0.0,0.0
1980-09-05,0.38,0.38,0.37,0.37,84000,0.0,0.0
1980-09-08,0.37,0.38,0.37,0.38,63300,0.0,0.0
1980-09-09,0.37,0.37,0.37,0.37,95700,0.0,0.0
1980-09-10,0.37,0.37,0.37,0.37,151200,0.0,0.0
1980-09-11,0.37,0.38,0.37,0.38,250200,0.0,0.0
1980-09-12,0.38,0.38,0.37,0.38,56700,0.0,0.0
1980-09-15,0.38,0.38,0.38,0.38,538500,0.0,0.0
1980-09-16,0.38,0.38,0.37,0.38,197100,0.0,0.0
1980-09-17,0.38,0.38,0.38,0.38,57000,0.0,0.0
1980-09-18,0.38,0.38,0.38,0.38,65100,0.0,0.0
1980-09-19,0.38,0.38,0.38,0.38,217200,0.0,0.0
1980-09-22,0.38,0.38,0.37,0.38,126900,0.0,0.0
1980-09-23,0.38,0.38,0.37,0.38,138900,0.0,0.0
1980-09-24,0.38,0.38,0.37,0.37,275700,0.0,0.0
1980-09-25,0.37,0.38,0.37,0.37,1603800,0.0,0.0
1980-09-26,0.36,0.36,0.35,0.35,152400,0.0,0.0
1980-09-29,0.35,0.35,0.35,0.35,120600,0.0,0.0
1980-09-30,0.35,0.35,0.35,0.35,27300,0.0,0.0
1980-10-01,0.35,0.35,0.35,0.35,67800,0.0,0.0
1980-10-02,0.35,0.35,0.35,0.35,41700,0.0,0.0
1980-10-03,0.36,0.36,0.36,0.36,83700,0.0,0.0
1980-10-06,0.36,0.36,0.36,0.36,32400,0.0,0.0
1980-10-07,0.36,0.37,0.36,0.36,76800,0.0,0.0
1980-10-08,0.36,0.37,0.36,0.36,68700,0.0,0.0
1980-10-09,0.36,0.37,0.36,0.37,98400,0.0,0.0
1980-10-10,0.37,0.37,0.36,0.37,84900,0.0,0.0
1980-10-13,0.37,0.37,0.36,0.37,59400,0.0,0.0
1980-10-14,0.37,0.37,0.36,0.37,48600,0.0,0.0
1980-10-15,0.37,0.37,0.36,0.36,78600,0.0,0.0
1980-10-16,0.36,0.37,0.36,0.36,111000,0.0,0.0
1980-10-17,0.36,0.37,0.36,0.36,157800,0.0,0.0
1980-10-20,0.36,0.37,0.36,0.36,93600,0.0,0.0
1980-10-21,0.36,0.37,0.36,0.36,81000,0.0,0.0
1980-10-22,0.36,0.36,0.36,0.36,51300,0.0,0.0
1980-10-23,0.36,0.36,0.36,0.36,58500,0.0,0.0
1980-10-24,0.36,0.36,0.36,0.36,53100,0.0,0.0
1980-10-27,0.36,0.37,0.36,0.36,77400,0.0,0.0
1980-10-28,0.36,0.37,0.36,0.36,121500,0.0,0.0
1980-10-29,0.36,0.37,0.36,0.36,53100,0.0,0.0
1980-10-30,0.36,0.37,0.36,0.36,128700,0.0,0.0
1980-10-31,0.36,0.36,0.36,0.36,125400,0.0,0.0
1980-11-03,0.36,0.37,0.36,0.36,46200,0.0,0.0
1980-11-05,0.36,0.37,0.36,0.36,102600,0.0,0.0
1980-11-06,0.36,0.36,0.35,0.35,132600,0.0,0.0
1980-11-07,0.35,0.35,0.35,0.35,111000,0.0,0.0
1980-11-10,0.35,0.36,0.35,0.35,106500,0.0,0.0
1980-11-11,0.36,0.36,0.36,0.36,55800,0.0,0.0
1980-11-12,0.36,0.36,0.36,0.36,61200,0.0,0.0
1980-11-13,0.37,0.38,0.37,0.37,139500,0.0,0.0
1980-11-14,0.37,0.37,0.37,0.37,50400,0.0,0.0
1980-11-17,0.37,0.37,0.36,0.36,97500,0.0,0.0
1980-11-18,0.36,0.37,0.36,0.36,62100,0.0,0.0
1980-11-19,0.36,0.36,0.35,0.35,182100,0.0,0.0
1980-11-20,0.35,0.35,0.35,0.35,98400,0.0,0.0
1980-11-21,0.35,0.35,0.34,0.35,537600,0.0,0.0
1980-11-24,0.35,0.35,0.34,0.35,74100,0.0,0.0
1980-11-25,0.35,0.35,0.35,0.35,62100,0.0,0.0
1980-11-26,0.35,0.35,0.35,0.35,43200,0.0,0.0
1980-11-28,0.35,0.35,0.35,0.35,45900,0.0,0.0
1980-12-01,0.35,0.35,0.34,0.34,49800,0.0,0.0
1980-12-02,0.34,0.35,0.34,0.35,54300,0.0,0.0
1980-12-03,0.35,0.35,0.34,0.34,109800,0.0,0.0
1980-12-04,0.34,0.35,0.34,0.35,55200,0.0,0.0
1980-12-05,0.35,0.35,0.34,0.34,58500,0.0,0.0
1980-12-08,0.34,0.35,0.34,0.34,90900,0.0,0.0
1980-12-09,0.34,0.34,0.34,0.34,159300,0.0,0.0
1980-12-10,0.34,0.35,0.34,0.34,55200,0.0,0.0
1980-12-11,0.34,0.34,0.34,0.34,150300,0.0,0.0
1980-12-12,0.34,0.34,0.34,0.34,94800,0.0,0.0
1980-12-15,0.34,0.35,0.34,0.34,55800,0.0,0.0
1980-12-16,0.34,0.35,0.34,0.35,72900,0.0,0.0
1980-12-17,0.35,0.36,0.35,0.36,176700,0.0,0.0
1980-12-18,0.36,0.37,0.36,0.37,622200,0.0,0.0
1980-12-19,0.37,0.37,0.37,0.37,1289700,0.0,0.0
1980-12-22,0.37,0.37,0.37,0.37,322500,0.0,0.0
1980-12-23,0.37,0.38,0.37,0.37,230700,0.0,0.0
1980-12-24,0.37,0.37,0.37,0.37,217200,0.0,0.0
1980-12-26,0.37,0.37,0.37,0.37,18900,0.0,0.0
1980-12-29,0.37,0.37,0.37,0.37,141600,0.0,0.0
1980-12-30,0.37,0.37,0.36,0.37,318900,0.0,0.0
1980-12-31,0.37,0.38,0.37,0.38,146100,0.0,0.0
1981-01-02,0.38,0.38,0.37,0.38,263100,0.0,0.0
1981-01-05,0.38,0.4,0.38,0.4,192000,0.0,0.0
1981-01-06,0.4,0.4,0.39,0.39,109800,0.0,0.0
1981-01-07,0.38,0.38,0.37,0.38,450900,0.0,0.0
1981-01-08,0.38,0.39,0.38,0.39,239400,0.0,0.0
1981-01-09,0.39,0.4,0.39,0.4,568800,0.0,0.0
1981-01-12,0.4,0.41,0.4,0.41,711300,0.0,0.0
1981-01-13,0.41,0.42,0.41,0.41,226800,0.0,0.0
1981-01-14,0.41,0.42,0.41,0.42,459300,0.0,0.0
1981-01-15,0.42,0.43,0.42,0.43,720900,0.0,0.0
1981-01-16,0.43,0.44,0.42,0.43,1165500,0.0,0.0
1981-01-19,0.43,0.43,0.42,0.42,140400,0.0,0.0
1981-01-20,0.42,0.42,0.42,0.42,144900,0.0,0.0
1981-01-21,0.41,0.41,0.41,0.41,69300,0.0,0.0
1981-01-22,0.41,0.41,0.41,0.41,89100,0.0,0.0
1981-01-23,0.41,0.41,0.41,0.41,128700,0.0,0.0
1981-01-26,0.41,0.41,0.4,0.41,407700,0.0,0.0
1981-01-27,0.41,0.41,0.41,0.41,97200,0.0,0.0
1981-01-28,0.41,0.41,0.41,0.41,427800,0.0,0.0
1981-01-29,0.41,0.41,0.4,0.41,130800,0.0,0.0
1981-01-30,0.41,0.41,0.4,0.4,310800,0.0,0.0
1981-02-02,0.4,0.41,0.4,0.4,205200,0.0,0.0
1981-02-03,0.4,0.42,0.4,0.42,460200,0.0,0.0
1981-02-04,0.42,0.42,0.41,0.42,132300,0.0,0.0
1981-02-05,0.42,0.42,0.42,0.42,271800,0.0,0.0
1981-02-06,0.42,0.42,0.41,0.41,413400,0.0,0.0
1981-02-09,0.41,0.42,0.41,0.42,597000,0.0,0.0
1981-02-10,0.42,0.43,0.42,0.43,343200,0.0,0.0
1981-02-11,0.43,0.43,0.43,0.43,548400,0.0,0.0
1981-02-12,0.43,0.44,0.43,0.44,607800,0.0,0.0
1981-02-13,0.44,0.44,0.43,0.43,753300,0.0,0.0
1981-02-17,0.43,0.43,0.43,0.43,359400,0.0,0.0
1981-02-18,0.43,0.44,0.43,0.43,305400,0.0,0.0
1981-02-19,0.43,0.43,0.43,0.43,200100,0.0,0.0
